"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 23 13:47:13 GMT 2025","Tue Sep 23 13:47:14 GMT 2025","1288","LMS System","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Sep 23 13:47:14 GMT 2025","Tue Sep 23 13:47:16 GMT 2025","1722","LMS System","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Sep 23 13:47:12 GMT 2025","Tue Sep 23 13:47:13 GMT 2025","1376","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 13:47:08 GMT 2025","Tue Sep 23 13:47:12 GMT 2025","3533","LMS System","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Sep 23 13:47:19 GMT 2025","Tue Sep 23 13:47:19 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Tue Sep 23 13:47:08 GMT 2025","Tue Sep 23 13:47:10 GMT 2025","1978","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 13:47:20 GMT 2025","Tue Sep 23 13:47:22 GMT 2025","1393","LMS System","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Sep 23 13:47:19 GMT 2025","Tue Sep 23 13:47:19 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Tue Sep 23 13:47:10 GMT 2025","Tue Sep 23 13:47:12 GMT 2025","1928","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 13:47:19 GMT 2025","Tue Sep 23 13:47:19 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Tue Sep 23 13:47:19 GMT 2025","Tue Sep 23 13:47:19 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Tue Sep 23 13:47:19 GMT 2025","Tue Sep 23 13:47:19 GMT 2025","1","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Tue Sep 23 13:47:15 GMT 2025","Tue Sep 23 13:47:16 GMT 2025","1423","LMS System","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Sep 23 13:47:17 GMT 2025","Tue Sep 23 13:47:19 GMT 2025","2291","LMS System","Courses","Courses","","","Create course",""
"passed","Tue Sep 23 13:47:17 GMT 2025","Tue Sep 23 13:47:20 GMT 2025","2530","LMS System","Courses","Courses","","","Edit course",""
"passed","Tue Sep 23 13:47:19 GMT 2025","Tue Sep 23 13:47:19 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
